"repeats"	"read_count"	"num_annotations"	"num_bases"	"perc_reads"	"RPM"	"conRPM"	"ncountsRPM"	"nconRPM"
"1326"	"1.688.seq1326.count:1"	11.74	1	313	1e-05	0.11	0.12	0.11	0.916666666666667
"1360"	"1.688.seq1360.count:1"	11.6	1	345	1e-05	0.11	1.62	0.11	0.0679012345679012
"74"	"1.688.seq74.count:2"	10.56	2	690	1e-05	0.1	2.08	0.05	0.0480769230769231
"281"	"1.688.seq281.count:1"	10.69	1	363	1e-05	0.1	0.06	0.1	1.66666666666667
"290"	"1.688.seq290.count:1"	10.8	1	358	1e-05	0.1	0.41	0.1	0.24390243902439
"326"	"1.688.seq326.count:1"	10.11	1	350	1e-05	0.1	0.49	0.1	0.204081632653061
"330"	"1.688.seq330.count:1"	10.8	1	361	1e-05	0.1	0.46	0.1	0.217391304347826
"388"	"1.688.seq388.count:1"	10.72	1	338	1e-05	0.1	0.32	0.1	0.3125
"436"	"1.688.seq436.count:1"	10.74	1	358	1e-05	0.1	0.66	0.1	0.151515151515152
"452"	"1.688.seq452.count:1"	10.45	1	360	1e-05	0.1	0.13	0.1	0.769230769230769
"468"	"1.688.seq468.count:1"	10.23	1	354	1e-05	0.1	0.18	0.1	0.555555555555556
"500"	"1.688.seq500.count:1"	10.53	1	360	1e-05	0.1	0.64	0.1	0.15625
"572"	"1.688.seq572.count:1"	10.8	1	361	1e-05	0.1	0.19	0.1	0.526315789473684
"613"	"1.688.seq613.count:1"	10.75	1	256	1e-05	0.1	0.83	0.1	0.120481927710843
"627"	"1.688.seq627.count:1"	10.14	1	359	1e-05	0.1	0.65	0.1	0.153846153846154
"885"	"1.688.seq885.count:1"	10.87	1	339	1e-05	0.1	1.1	0.1	0.0909090909090909
"952"	"1.688.seq952.count:1"	10.69	1	257	1e-05	0.1	0.68	0.1	0.147058823529412
"1009"	"1.688.seq1009.count:1"	10.43	1	359	1e-05	0.1	0.19	0.1	0.526315789473684
"1035"	"1.688.seq1035.count:1"	10.29	1	259	1e-05	0.1	0.73	0.1	0.136986301369863
"1042"	"1.688.seq1042.count:1"	10.09	1	360	1e-05	0.1	0.29	0.1	0.344827586206897
"1129"	"1.688.seq1129.count:1"	10.47	1	348	1e-05	0.1	0.37	0.1	0.27027027027027
"1277"	"1.688.seq1277.count:1"	9.92	1	334	1e-05	0.1	0.26	0.1	0.384615384615385
"1378"	"1.688.seq1378.count:1"	10.53	1	255	1e-05	0.1	0.65	0.1	0.153846153846154
"58"	"1.688.seq58.count:3"	9.79	3	1020	1e-05	0.09	2.06	0.03	0.0436893203883495
"86"	"1.688.seq86.count:2"	9.85	2	706	1e-05	0.09	1.32	0.045	0.0681818181818182
"87"	"1.688.seq87.count:2"	9.61	2	710	1e-05	0.09	0.43	0.045	0.209302325581395
"101"	"1.688.seq101.count:2"	9.59	2	704	1e-05	0.09	0.23	0.045	0.391304347826087
"199"	"1.688.seq199.count:1"	9.85	1	359	1e-05	0.09	0.17	0.09	0.529411764705882
"215"	"1.688.seq215.count:1"	8.87	1	349	1e-05	0.09	0.4	0.09	0.225
"241"	"1.688.seq241.count:1"	9.15	1	362	1e-05	0.09	0.4	0.09	0.225
"251"	"1.688.seq251.count:1"	9.55	1	360	1e-05	0.09	0.37	0.09	0.243243243243243
"377"	"1.688.seq377.count:1"	8.92	1	361	1e-05	0.09	0.5	0.09	0.18
"401"	"1.688.seq401.count:1"	9.51	1	342	1e-05	0.09	0.22	0.09	0.409090909090909
"422"	"1.688.seq422.count:1"	9.37	1	359	1e-05	0.09	0.54	0.09	0.166666666666667
